CPT_code,CodeDescription,Code_Category
0232U,Cstb full gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0233U,Fxn gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0234U,Mecp2 full gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0235U,Pten full gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0236U,Smn1&smn2 full gene analysis,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0237U,Car ion chnlpthy gen seq pnl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0238U,Onc lnch syn gen dna seq aly,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0239U,Trgt gen seq alys pnl 311+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0240U,Nfct ds vir resp rna 3 trgt,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0241U,Nfct ds vir resp rna 4 trgt,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0242U,Trgt gen seq alys pnl 55-74,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0244U,Onc solid orgn dna 257 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0245U,Onc thyr mut alys 10 gen&37,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0246U,Rbc dna gnotyp 16 bld groups,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0248U,Onc sphrd cell cul 12 rx pnl,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0250U,Onc sld org neo dna 505 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0258U,Ai psor mrna 50-100 gen alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0260U,Rare ds id opt genome mapg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0261U,Onc clrct ca img alys w/ai,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0262U,Onc sld tum rtpcr 7 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0264U,Rare ds id opt genome mapg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0265U,Rar do whl gn&mtcdrl dna als,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0266U,Unxpl cnst hrtbl do gn xprsn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0267U,Rare do id opt gen mapg&seq,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0268U,Hem ahus gen seq alys 15 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0269U,Hem aut dm cgen trmbctpna 22,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0270U,Hem cgen coagj do 20 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0271U,Hem cgen neutropenia 24 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0272U,Hem genetic bld do 60 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0273U,Hem gen hyprfibrnlysis 8 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0274U,Hem gen pltlt do 62 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0276U,Hem inh thrombocytopenia 42,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0277U,Hem gen pltlt funcj do 40,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0278U,Hem gen thrombosis 14 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0282U,Rbc dna gntyp 12 bld grp gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0287U,Onc thyr dna&mrna 112 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0288U,Onc lung mrna quan pcr 11&3,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0305U,Hem rbc fnclty&dfrm shr strs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0306U,Onc mrd nxt-gnrj alys 1st,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0307U,Onc mrd nxt-gnrj alys sbsq,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0308U,Crd cad alys 3 prtn 3 param,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0313U,Onc pncrs dna&mrna seq 74,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0314U,Onc cutan mlnma mrna 35 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0315U,Onc cutan sq cll ca mrna 40,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0317U,Onc lung ca 4-prb fish assay,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0318U,Ped whl gen mthyltn alys 50+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0332U,Onc pan tum gen prflg 8 dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0334U,Onc sld orgn tgsa dna 84/+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0335U,Rare ds whl gen seq feta,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0336U,Rare ds whl gen seq bld/slv,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0337U,Onc plsm cell do&myeloma id,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0338U,Onc sld tum crcg tum cl slct,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0339U,Onc prst8 mrna hoxc6 & dlx1,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0340U,Onc pan ca alys mrd plasma,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0341U,Ftl aneup dna seq cmpr alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0342U,Onc pncrtc ca mult ia eclia,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0343U,Onc prst8 xom aly 442 sncrna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0344U,Hep nafld semiq evl 28 lipid,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0345U,Psyc genom alys pnl 15 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0347U,Rx metab/pcx dna 16 gen alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0348U,Rx metab/pcx dna 25 gen alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0349U,Rx metab/pcx dna 27gen rx ia,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0350U,Rx metab/pcx dna 27 gen alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0351U,Nfct ds bct/viral trail ip10,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0355U,Apol1 risk variants,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0356U,Onc orop/anal 17 dna ddpcr,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0358U,Neuro alys β-amyl 1-42&1-40,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0359U,Onc prst8 ca alys all psa,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0360U,Onc lung elisa 7 autoant alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0361U,Neurflmnt lt chn dig ia quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0362U,Onc pap thyr ca rna 82&10,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0363U,Onc urthl mrna 5 gen alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0364U,Onc hl neo gen seq alys alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0365U,Onc bldr 10 ur hrbr urthl ca,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0366U,Onc bldr 10 prb recr bldr ca,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0367U,Onc bldr 10 flwg trurl rescj,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0369U,Iadna gi pthgn 31 org&21 arg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0370U,Iadna surg wnd pthgn 34&21,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0371U,Iadna gu pthgn semiq dna16&1,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0372U,Nfct ds gu pthgn arg detcj,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0373U,Iadna rsp tr nfct 17 8 13&16,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0374U,Iadna gu pthgn 21 org&21arg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0375U,Onc ovrn bchm asy 7 prtn alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0376U,Onc prst8 ca img alys 128,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0377U,Cv ds quan advsrm/plsm lprtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0378U,Rfc1 repeat xpnsj vrnt alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0379U,Tgsap sl or neo dna523&rna55,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0381U,Maple syrup ur ds mntr quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0382U,Hyprphenylalninmia mntr quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0383U,Tyrosinemia typ i mntr quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0384U,Neph ckd rsk hi stg kdn ds,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0385U,Neph ckd alg rsk dbtc kdn ds,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0387U,Onc mlnma ambra1&amlo,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0388U,Onc nonsm cll lng ca 37 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0389U,Ped fbrl kd ifi27&mcemp1 rna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0390U,Ob pe kdr eng&rbp4 ia alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0391U,Onc sld tum dna&rna 437 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0392U,Rx metab genrx ia 16 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0393U,Neu prksn msfl a-syncln prtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0394U,Pfas 16 pfas compnd lc ms/ms,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0395U,Onc lng multiomics plsm alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0398U,Gi baret esph dna mthyln aly,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0399U,Neuro cere folate defncy srm,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0400U,Ob xpnd car scr 145 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0401U,Crd c hrt ds 9 gen 12 vrnts,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0402U,Nfct agt sti mult amp prb tq,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0403U,Onc prst8 mrna 18 gen 1st ur,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0404U,Onc brst semiq meas thym kn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0405U,Onc pncrtc 59 mthltn blk mrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0406U,Onc lung flow cytmtry 5 mrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0407U,Neph dbtc ckd mult eclia alg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0408U,Iaad blk ac wv bsnsr sarscv2,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0409U,Onc sld tum dna 80 & rna 36,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0410U,Onc pncrtc dna whl gn seq 5-,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0411U,Psyc genom alys pnl 15 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0412U,Beta amyloid ab42/40 imprcip,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0413U,Onc hl neo opt gen mapg dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0414U,Onc lng aug alg aly whl sld8,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0415U,Cv ds acs bld alg 5 yr score,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0417U,Rare ds alys 335 nuc genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0418U,Onc brst aug alg aly whl sl8,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0419U,Nrpsyc gen seq vrnt aly 13,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0420U,Onc urthl mrna xprsn 6 snp,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0421U,Onc clrct scr sgl amp 8 rna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0422U,Onc pan solid tum alys dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0423U,Psyc genomic alys pnl 26 gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0424U,Onc prst8 xom alys 53 sncrna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0425U,Genom rpd seq alys ea cmprtr,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0426U,Genome ultra-rapid seq alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0427U,Monocyte dstrbj wdth whl bld,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0429U,Hpv orop swab 14 hi-risk typ,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0430U,Gi malabs aat calpro pncrtc,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0431U,Gly rcptr alpha1 igg srm/csf,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0432U,Klhl11 antb sr/csf asy qual,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0433U,Onc prst8 5 dna reg mrk pcr,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0434U,Rx metab advrs vrnt alys 25,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0435U,Onc chemo rx cytox csc 14 rx,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0436U,Onc lng plsm alys 388 prtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0437U,Psyc anxiety do mrna 15 bmrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0438U,Rx metab advrs vrnt alys 33,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0439U,Crd chd dna alys 5 snp 3 dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0440U,Crd chd dna alys 10 snp 6dna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0441U,Nfct ds bct fngl/viral semiq,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0442U,Nfct ds respir nfctj mxa&crp,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0443U,Neurflmnt lt chn ultrsens ia,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0444U,Onc sld orgn neo tgsap 361,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0445U,Abeta42 & ptau181 eclia csf,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0446U,Ai ds sle alys 10 cytokine,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0447U,Ai ds sle alys 11 cytokine,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0449U,Car scr sev inh cond 5 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0450U,Onc mm lc-ms/ms monoc p-prtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0451U,Onc mm lc-ms/ms pep ion quan,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0452U,Onc bldr mthyl penk lte-qmsp,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0453U,Onc clrct ca cfdna qpcr asy,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0454U,Rare ds id opt genome mapg,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0455U,Nfct agt sti mult amp prb ur,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0457U,Pfas 9 cmpnd lcms/ms pls/sr,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0458U,Onc brst ca s100 a8&a9 elisa,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0459U,Abeta42 & ttau eclia csf,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0460U,Onc whl bld/bucc rtpcr 24gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0461U,Onc rxgenom alys rtpcr 24gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0462U,Melatonin lvl tst slp std7/9,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0463U,Onc crvx mrna genxprsn 14bmk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0464U,Onc clrct scr qrtsa dna mrk,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0465U,Onc urthl carc dna qmsp 2gen,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0466U,Crd cad dna gwas 564856 snp,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0467U,Onc bldr dna ngs 60gen&aneup,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0468U,Hep nash mir34a5p a2m ykl40,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0469U,Rare ds whl gen seq ftl samp,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0470U,Onc orop detcj mrd 8 dna hpv,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0471U,Onc clrc ca 35 vrn kras&nras,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0472U,Ca vi psp&sp1 antb sjogren,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0473U,Onc sld tum bld/slv 648 gene,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0474U,Hered pan ca gsap 88gene ngs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0475U,Hered prst8 ca gsap 23 genes,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0476U,Rx metab psyc 14gen&cyp2d6,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0477U,Rx metab psy 14&cyp2d6 gn-rx,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0478U,Onc nsclc dna&rna dpcr 9gens,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0479U,Tau phosphorylated ptau217,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0480U,Nfct ds csf metag ngs alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0481U,Idh1 idh2&tert promoter ngs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0482U,Ob pe biochem asy sflt1&plgf,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0483U,Nfct ds ng gyra s91f pt mut,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0484U,Nfct ds mgen 23s rrna pt mut,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0485U,Onc sol tum cfdna&rna ngs gm,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0486U,Onc pan sol tum ngs cfctdna,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0487U,Onc sol tum cfcdna tgsap 84,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0488U,Ob fetal ag nipt cfdna alys,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0489U,Ob sgnipt cfdna seq alys 1+,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0490U,Onc cutan/uveal mlnma cd146,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0491U,Onc sol tum ctc slct er prtn,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0492U,Onc sol tum ctc slctn pd-l1,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0493U,Trnspl med quan dd-cfdna ngs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
0494U,Rbc ag ftl rhd gene alys ngs,CLINICAL LABORATORY SERVICES (HCPCS Lvl2)
