PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
71300-6632,HUMAN COMPOUNDED DRUG,Diclofenac Sodium,Diclofenac Sodium,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",DICLOFENAC SODIUM,16 mg/1 g,,71300-6632-1,24 PACKET in 1 BOX (71300-6632-1)  > 2.5 g in 1 PACKET,2023-1
71300-6591,HUMAN COMPOUNDED DRUG,Lidocaine HCl and Bupivacaine HCl,Lidocaine HCl and Bupivacaine HCl,INJECTION,EPIDURAL; INTRA-ARTICULAR; SOFT TISSUE; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",BUPIVACAINE HYDROCHLORIDE; LIDOCAINE HYDROCHLORIDE,3.75 mg/1 mL; 10 mg/1 mL,,71300-6591-1,1 VIAL in 1 BOX (71300-6591-1)  > 5 mL in 1 VIAL,2023-1
71170-234,HUMAN COMPOUNDED DRUG,Vancomycin 500mg added to 250mL of 0.9% Sodium Chloride,Vancomycin 500mg added to 250mL of 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",VANCOMYCIN HYDROCHLORIDE,2 mg/1 mL,,71170-234-25,250 mL in 1 BAG (71170-234-25) ,2023-1
72196-0202,HUMAN COMPOUNDED DRUG,del Nido Plasmalyte-A,del Nido Plasmalyte-A,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",MANNITOL; LIDOCAINE HYDROCHLORIDE; MAGNESIUM SULFATE HEPTAHYDRATE; MAGNESIUM CHLORIDE; SODIUM GLUCONATE; SODIUM ACETATE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM BICARBONATE,3.26 g/1052.8 mL; 130 mg/1052.8 mL; 16.24 meq/1052.8 mL; .3 g/1052.8 mL; 5.02 g/1052.8 mL; 3.68 g/1052.8 mL; 2.307 g/1052.8 mL; 5.26 g/1052.8 mL; 1.092 g/1052.8 mL,,72196-0202-1,1052.8 mL in 1 BAG (72196-0202-1) ,2023-1
61141-1372,HUMAN COMPOUNDED DRUG,Neostigmine Methylsulfate 5mg/5ml (1mg/ml syringe),Neostigmine Methylsulfate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Medi-Fare Drug,NEOSTIGMINE METHYLSULFATE,1 mg/1 mL,,61141-1372-5,"5 mL in 1 SYRINGE, PLASTIC (61141-1372-5) ",2023-1
68985-324,HUMAN COMPOUNDED DRUG,VANCOMYCIN 1.5G,VANCOMYCIN 1.5G,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),LEESAR INC,VANCOMYCIN HYDROCHLORIDE,6 mg/1 mL,,68985-324-93,250 mL in 1 BAG (68985-324-93) ,2023-1
73463-100,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Prisma Health Outsourcing facility,KETAMINE HYDROCHLORIDE,5 mg/1 mL,CIII,73463-100-01,2 mL in 1 SYRINGE (73463-100-01) ,2023-1
73463-102,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Prisma Health Outsourcing facility,KETAMINE HYDROCHLORIDE,5 mg/1 mL,CIII,73463-102-03,20 mL in 1 SYRINGE (73463-102-03) ,2023-1
73702-122,HUMAN COMPOUNDED DRUG,Phenylephrine HCl,Phenylephrine HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,PHENYLEPHRINE HYDROCHLORIDE,40 mg/250 mL,,73702-122-03,250 mL in 1 BAG (73702-122-03) ,2023-1
73702-131,HUMAN COMPOUNDED DRUG,Cefazolin Sodium,Cefazolin Sodium,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,CEFAZOLIN,1 g/10 mL,,73702-131-10,10 mL in 1 SYRINGE (73702-131-10) ,2023-1
73702-128,HUMAN COMPOUNDED DRUG,Ropivacaine HCl,Ropivacaine HCl,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73702-128-95,550 mL in 1 KIT (73702-128-95) ,2023-1
73702-128,HUMAN COMPOUNDED DRUG,Ropivacaine HCl,Ropivacaine HCl,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73702-128-65,50 mL in 1 SYRINGE (73702-128-65) ,2023-1
73177-109,HUMAN COMPOUNDED DRUG,Ropivacaine,Ropivacaine,INJECTION,INFILTRATION; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73177-109-13,545 mL in 1 CONTAINER (73177-109-13) ,2023-1
73177-109,HUMAN COMPOUNDED DRUG,Ropivacaine,Ropivacaine,INJECTION,INFILTRATION; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73177-109-14,745 mL in 1 CONTAINER (73177-109-14) ,2023-1
72055-013,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",SUCCINYLCHOLINE CHLORIDE,100 mg/5 mL,,72055-013-01,"5 mL in 1 SYRINGE, PLASTIC (72055-013-01) ",2023-2
73693-388,HUMAN COMPOUNDED DRUG,TESTOSTERONE 37.5 MG,TESTOSTERONE 37.5 MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE,37.5 mg,CIII,73693-388-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-388-01) ",2023-2
70092-433,HUMAN COMPOUNDED DRUG,RECK in 50 ml NaCl- 50 ml syr,RECK in 50 ml NaCl- 50 ml syr,INJECTION,PERIARTICULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",KETOROLAC TROMETHAMINE; RACEPINEPHRINE HYDROCHLORIDE; CLONIDINE HYDROCHLORIDE; ROPIVACAINE HYDROCHLORIDE,.3 mg/1 mL; .005 mg/1 mL; .0008 mg/1 mL; 2.46 mg/1 mL,,70092-433-50,50 mL in 1 SYRINGE (70092-433-50) ,2023-1
70092-117,HUMAN COMPOUNDED DRUG,Hydromorph PF 1 mg/ml 30ml NS PCA vial,Hydromorph PF 1 mg/ml 30ml NS PCA vial,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",HYDROMORPHONE HYDROCHLORIDE,30 mg/30 mL,CII,70092-117-79,"30 mL in 1 SYRINGE, GLASS (70092-117-79) ",2023-1
70092-400,HUMAN COMPOUNDED DRUG,Fentanyl PF 10 mcg/ml 1ml NS- 3 ml syr,Fentanyl PF 10 mcg/ml 1ml NS- 3 ml syr,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE,10 ug/1 mL,CII,70092-400-43,1 mL in 1 SYRINGE (70092-400-43) ,2023-1
70092-221,HUMAN COMPOUNDED DRUG,Ropivacaine PF 0.2% 400 ml IVB,Ropivacaine PF 0.2% 400 ml IVB,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",ROPIVACAINE HYDROCHLORIDE,800 mg/400 mL,,70092-221-38,400 mL in 1 BAG (70092-221-38) ,2023-1
70092-293,HUMAN COMPOUNDED DRUG,Hydromorph PF1 mg/ml 30ml NS-35 ml MB SS,Hydromorph PF1 mg/ml 30ml NS-35 ml MB SS,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",HYDROMORPHONE HYDROCHLORIDE,30 mg/30 mL,CII,70092-293-49,30 mL in 1 SYRINGE (70092-293-49) ,2023-1
73198-113,HUMAN COMPOUNDED DRUG,Diluent For Reconstitution,Diluent For Reconstitution,"INJECTION, SOLUTION",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,".ALPHA.-(.ALPHA.-AMINOPROPYL)BENZYL ALCOHOL HYDROCHLORIDE, ERYTHRO-(+/-)-",.015 g/1 mL,,73198-113-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-113-10) ",2023-1
69761-372,HUMAN COMPOUNDED DRUG,Testosterone 37.5 mg,Testosterone 37.5 mg,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Qualgen LLC,TESTOSTERONE,37.5 mg,CIII,69761-372-01,"1 PELLET, IMPLANTABLE in 1 VIAL (69761-372-01) ",2023-2
71506-016,HUMAN COMPOUNDED DRUG,Vancomycin Hydrochloride,Vancomycin Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,VANCOMYCIN HYDROCHLORIDE,1.5 g/500 mL,,71506-016-59,500 mL in 1 BAG (71506-016-59) ,2023-2
70657-1013,HUMAN COMPOUNDED DRUG,Methylcobalamin,Methylcobalamin,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),MedisourceRx,METHYLCOBALAMIN,1 mg/1 mL,,70657-1013-3,"30 mL in 1 VIAL, MULTI-DOSE (70657-1013-3) ",2023-2
70168-0011,HUMAN COMPOUNDED DRUG,Testo12.5mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,12.5 mg,CIII,70168-0011-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0011-1) ",2023-2
70168-0040,HUMAN COMPOUNDED DRUG,Testo50mg,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,50 mg,CIII,70168-0040-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0040-1) ",2023-2
70168-0031,HUMAN COMPOUNDED DRUG,Testo37.5mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,37.5 mg,CIII,70168-0031-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0031-1) ",2023-2
70168-2100,HUMAN COMPOUNDED DRUG,E2 50mg,Estradiol,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ESTRADIOL,50 mg,,70168-2100-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-2100-1) ",2023-2
70004-723,HUMAN COMPOUNDED DRUG,Lidocaine 2% PF,Lidocaine 2% PF,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",LIDOCAINE HYDROCHLORIDE,20 mg/1 mL,,70004-723-09,5 mL in 1 SYRINGE (70004-723-09) ,2023-1
70004-720,HUMAN COMPOUNDED DRUG,Lidocaine 1% PF,Lidocaine 1% PF,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",LIDOCAINE HYDROCHLORIDE,10 mg/1 mL,,70004-720-12,10 mL in 1 SYRINGE (70004-720-12) ,2023-1
